Count_gfp_objects,Count_rfp_objects,FileName_gfp,FileName_rfp,ImageNumber
474.0,2135.0,"B10_-1_2_1_Stitched[GFP 469,525]_001.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_001.tif",1
481.0,2158.0,"B10_-1_2_1_Stitched[GFP 469,525]_002.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_002.tif",2
476.0,2469.0,"B10_-1_2_1_Stitched[GFP 469,525]_003.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_003.tif",3
499.0,2637.0,"B10_-1_2_1_Stitched[GFP 469,525]_004.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_004.tif",4
524.0,2770.0,"B10_-1_2_1_Stitched[GFP 469,525]_005.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_005.tif",5
515.0,2935.0,"B10_-1_2_1_Stitched[GFP 469,525]_006.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_006.tif",6
524.0,3077.0,"B10_-1_2_1_Stitched[GFP 469,525]_007.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_007.tif",7
515.0,3405.0,"B10_-1_2_1_Stitched[GFP 469,525]_008.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_008.tif",8
465.0,3354.0,"B10_-1_2_1_Stitched[GFP 469,525]_009.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_009.tif",9
490.0,3669.0,"B10_-1_2_1_Stitched[GFP 469,525]_010.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_010.tif",10
466.0,3741.0,"B10_-1_2_1_Stitched[GFP 469,525]_011.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_011.tif",11
426.0,3924.0,"B10_-1_2_1_Stitched[GFP 469,525]_012.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_012.tif",12
400.0,4181.0,"B10_-1_2_1_Stitched[GFP 469,525]_013.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_013.tif",13
385.0,4291.0,"B10_-1_2_1_Stitched[GFP 469,525]_014.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_014.tif",14
372.0,4193.0,"B10_-1_2_1_Stitched[GFP 469,525]_015.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_015.tif",15
337.0,4391.0,"B10_-1_2_1_Stitched[GFP 469,525]_016.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_016.tif",16
340.0,4437.0,"B10_-1_2_1_Stitched[GFP 469,525]_017.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_017.tif",17
362.0,4606.0,"B10_-1_2_1_Stitched[GFP 469,525]_018.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_018.tif",18
320.0,4625.0,"B10_-1_2_1_Stitched[GFP 469,525]_019.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_019.tif",19
337.0,4606.0,"B10_-1_2_1_Stitched[GFP 469,525]_020.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_020.tif",20
303.0,4596.0,"B10_-1_2_1_Stitched[GFP 469,525]_021.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_021.tif",21
294.0,4938.0,"B10_-1_2_1_Stitched[GFP 469,525]_022.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_022.tif",22
274.0,4852.0,"B10_-1_2_1_Stitched[GFP 469,525]_023.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_023.tif",23
278.0,5038.0,"B10_-1_2_1_Stitched[GFP 469,525]_024.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_024.tif",24
485.0,2178.0,"B11_-1_2_1_Stitched[GFP 469,525]_001.tif","B11_-1_3_1_Stitched[Texas Red 586,647]_001.tif",25
492.0,2393.0,"B11_-1_2_1_Stitched[GFP 469,525]_002.tif","B11_-1_3_1_Stitched[Texas Red 586,647]_002.tif",26
