"Count_gfp_objects","Count_rfp_objects","FileName_gfp","FileName_rfp","ImageNumber"
100,208,"B10_-1_2_1_Stitched[GFP 469,525]_001.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_001.tif",1
161,340,"B10_-1_2_1_Stitched[GFP 469,525]_002.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_002.tif",2
192,386,"B10_-1_2_1_Stitched[GFP 469,525]_003.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_003.tif",3
229,420,"B10_-1_2_1_Stitched[GFP 469,525]_004.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_004.tif",4
239,473,"B10_-1_2_1_Stitched[GFP 469,525]_005.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_005.tif",5
260,525,"B10_-1_2_1_Stitched[GFP 469,525]_006.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_006.tif",6
281,609,"B10_-1_2_1_Stitched[GFP 469,525]_007.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_007.tif",7
331,687,"B10_-1_2_1_Stitched[GFP 469,525]_008.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_008.tif",8
378,818,"B10_-1_2_1_Stitched[GFP 469,525]_009.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_009.tif",9
403,853,"B10_-1_2_1_Stitched[GFP 469,525]_010.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_010.tif",10
438,951,"B10_-1_2_1_Stitched[GFP 469,525]_011.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_011.tif",11
474,1047,"B10_-1_2_1_Stitched[GFP 469,525]_012.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_012.tif",12
537,1188,"B10_-1_2_1_Stitched[GFP 469,525]_013.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_013.tif",13
597,1362,"B10_-1_2_1_Stitched[GFP 469,525]_014.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_014.tif",14
642,1413,"B10_-1_2_1_Stitched[GFP 469,525]_015.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_015.tif",15
