Count_bfp_objects,Count_gfp_objects,FileName_bfp,FileName_gfp,ImageNumber
5085.0,37.0,"B10_-1_3_1_Stitched[DAPI 377,447]_001.tif","B10_-1_2_1_Stitched[GFP 469,525]_001.tif",1
5317.0,55.0,"B10_-1_3_1_Stitched[DAPI 377,447]_002.tif","B10_-1_2_1_Stitched[GFP 469,525]_002.tif",2
5618.0,54.0,"B10_-1_3_1_Stitched[DAPI 377,447]_003.tif","B10_-1_2_1_Stitched[GFP 469,525]_003.tif",3
5750.0,56.0,"B10_-1_3_1_Stitched[DAPI 377,447]_004.tif","B10_-1_2_1_Stitched[GFP 469,525]_004.tif",4
6094.0,67.0,"B10_-1_3_1_Stitched[DAPI 377,447]_005.tif","B10_-1_2_1_Stitched[GFP 469,525]_005.tif",5
6090.0,89.0,"B10_-1_3_1_Stitched[DAPI 377,447]_006.tif","B10_-1_2_1_Stitched[GFP 469,525]_006.tif",6
6329.0,68.0,"B10_-1_3_1_Stitched[DAPI 377,447]_007.tif","B10_-1_2_1_Stitched[GFP 469,525]_007.tif",7
6322.0,64.0,"B10_-1_3_1_Stitched[DAPI 377,447]_008.tif","B10_-1_2_1_Stitched[GFP 469,525]_008.tif",8
6412.0,77.0,"B10_-1_3_1_Stitched[DAPI 377,447]_009.tif","B10_-1_2_1_Stitched[GFP 469,525]_009.tif",9
6604.0,92.0,"B10_-1_3_1_Stitched[DAPI 377,447]_010.tif","B10_-1_2_1_Stitched[GFP 469,525]_010.tif",10
6580.0,98.0,"B10_-1_3_1_Stitched[DAPI 377,447]_011.tif","B10_-1_2_1_Stitched[GFP 469,525]_011.tif",11
6630.0,114.0,"B10_-1_3_1_Stitched[DAPI 377,447]_012.tif","B10_-1_2_1_Stitched[GFP 469,525]_012.tif",12
6559.0,132.0,"B10_-1_3_1_Stitched[DAPI 377,447]_013.tif","B10_-1_2_1_Stitched[GFP 469,525]_013.tif",13
4667.0,88.0,"B11_-1_3_1_Stitched[DAPI 377,447]_001.tif","B11_-1_2_1_Stitched[GFP 469,525]_001.tif",14
4834.0,83.0,"B11_-1_3_1_Stitched[DAPI 377,447]_002.tif","B11_-1_2_1_Stitched[GFP 469,525]_002.tif",15
5068.0,95.0,"B11_-1_3_1_Stitched[DAPI 377,447]_003.tif","B11_-1_2_1_Stitched[GFP 469,525]_003.tif",16
5179.0,112.0,"B11_-1_3_1_Stitched[DAPI 377,447]_004.tif","B11_-1_2_1_Stitched[GFP 469,525]_004.tif",17
5527.0,146.0,"B11_-1_3_1_Stitched[DAPI 377,447]_005.tif","B11_-1_2_1_Stitched[GFP 469,525]_005.tif",18
5485.0,123.0,"B11_-1_3_1_Stitched[DAPI 377,447]_006.tif","B11_-1_2_1_Stitched[GFP 469,525]_006.tif",19
5920.0,105.0,"B11_-1_3_1_Stitched[DAPI 377,447]_007.tif","B11_-1_2_1_Stitched[GFP 469,525]_007.tif",20
6003.0,169.0,"B11_-1_3_1_Stitched[DAPI 377,447]_008.tif","B11_-1_2_1_Stitched[GFP 469,525]_008.tif",21
5944.0,166.0,"B11_-1_3_1_Stitched[DAPI 377,447]_009.tif","B11_-1_2_1_Stitched[GFP 469,525]_009.tif",22
6215.0,220.0,"B11_-1_3_1_Stitched[DAPI 377,447]_010.tif","B11_-1_2_1_Stitched[GFP 469,525]_010.tif",23
6349.0,181.0,"B11_-1_3_1_Stitched[DAPI 377,447]_011.tif","B11_-1_2_1_Stitched[GFP 469,525]_011.tif",24
6375.0,241.0,"B11_-1_3_1_Stitched[DAPI 377,447]_012.tif","B11_-1_2_1_Stitched[GFP 469,525]_012.tif",25
6522.0,211.0,"B11_-1_3_1_Stitched[DAPI 377,447]_013.tif","B11_-1_2_1_Stitched[GFP 469,525]_013.tif",26
7050.0,26.0,"B2_-1_3_1_Stitched[DAPI 377,447]_001.tif","B2_-1_2_1_Stitched[GFP 469,525]_001.tif",27
7582.0,35.0,"B2_-1_3_1_Stitched[DAPI 377,447]_002.tif","B2_-1_2_1_Stitched[GFP 469,525]_002.tif",28
8260.0,30.0,"B2_-1_3_1_Stitched[DAPI 377,447]_003.tif","B2_-1_2_1_Stitched[GFP 469,525]_003.tif",29
