Count_bfp_objects,Count_gfp_objects,FileName_bfp,FileName_gfp,ImageNumber
205.0,342.0,"B10_-1_3_1_Stitched[DAPI 377,447]_001.tif","B10_-1_2_1_Stitched[GFP 469,525]_001.tif",1
257.0,434.0,"B10_-1_3_1_Stitched[DAPI 377,447]_002.tif","B10_-1_2_1_Stitched[GFP 469,525]_002.tif",2
297.0,449.0,"B10_-1_3_1_Stitched[DAPI 377,447]_003.tif","B10_-1_2_1_Stitched[GFP 469,525]_003.tif",3
266.0,492.0,"B10_-1_3_1_Stitched[DAPI 377,447]_004.tif","B10_-1_2_1_Stitched[GFP 469,525]_004.tif",4
293.0,528.0,"B10_-1_3_1_Stitched[DAPI 377,447]_005.tif","B10_-1_2_1_Stitched[GFP 469,525]_005.tif",5
341.0,518.0,"B10_-1_3_1_Stitched[DAPI 377,447]_006.tif","B10_-1_2_1_Stitched[GFP 469,525]_006.tif",6
341.0,615.0,"B10_-1_3_1_Stitched[DAPI 377,447]_007.tif","B10_-1_2_1_Stitched[GFP 469,525]_007.tif",7
382.0,653.0,"B10_-1_3_1_Stitched[DAPI 377,447]_008.tif","B10_-1_2_1_Stitched[GFP 469,525]_008.tif",8
389.0,726.0,"B10_-1_3_1_Stitched[DAPI 377,447]_009.tif","B10_-1_2_1_Stitched[GFP 469,525]_009.tif",9
450.0,824.0,"B10_-1_3_1_Stitched[DAPI 377,447]_010.tif","B10_-1_2_1_Stitched[GFP 469,525]_010.tif",10
466.0,919.0,"B10_-1_3_1_Stitched[DAPI 377,447]_011.tif","B10_-1_2_1_Stitched[GFP 469,525]_011.tif",11
525.0,1040.0,"B10_-1_3_1_Stitched[DAPI 377,447]_012.tif","B10_-1_2_1_Stitched[GFP 469,525]_012.tif",12
588.0,1110.0,"B10_-1_3_1_Stitched[DAPI 377,447]_013.tif","B10_-1_2_1_Stitched[GFP 469,525]_013.tif",13
649.0,1201.0,"B10_-1_3_1_Stitched[DAPI 377,447]_014.tif","B10_-1_2_1_Stitched[GFP 469,525]_014.tif",14
710.0,1294.0,"B10_-1_3_1_Stitched[DAPI 377,447]_015.tif","B10_-1_2_1_Stitched[GFP 469,525]_015.tif",15
793.0,1381.0,"B10_-1_3_1_Stitched[DAPI 377,447]_016.tif","B10_-1_2_1_Stitched[GFP 469,525]_016.tif",16
854.0,1475.0,"B10_-1_3_1_Stitched[DAPI 377,447]_017.tif","B10_-1_2_1_Stitched[GFP 469,525]_017.tif",17
990.0,1618.0,"B10_-1_3_1_Stitched[DAPI 377,447]_018.tif","B10_-1_2_1_Stitched[GFP 469,525]_018.tif",18
1053.0,1695.0,"B10_-1_3_1_Stitched[DAPI 377,447]_019.tif","B10_-1_2_1_Stitched[GFP 469,525]_019.tif",19
1151.0,1833.0,"B10_-1_3_1_Stitched[DAPI 377,447]_020.tif","B10_-1_2_1_Stitched[GFP 469,525]_020.tif",20
1204.0,1902.0,"B10_-1_3_1_Stitched[DAPI 377,447]_021.tif","B10_-1_2_1_Stitched[GFP 469,525]_021.tif",21
1366.0,2005.0,"B10_-1_3_1_Stitched[DAPI 377,447]_022.tif","B10_-1_2_1_Stitched[GFP 469,525]_022.tif",22
1493.0,2056.0,"B10_-1_3_1_Stitched[DAPI 377,447]_023.tif","B10_-1_2_1_Stitched[GFP 469,525]_023.tif",23
1574.0,2088.0,"B10_-1_3_1_Stitched[DAPI 377,447]_024.tif","B10_-1_2_1_Stitched[GFP 469,525]_024.tif",24
1679.0,2141.0,"B10_-1_3_1_Stitched[DAPI 377,447]_025.tif","B10_-1_2_1_Stitched[GFP 469,525]_025.tif",25
1808.0,2228.0,"B10_-1_3_1_Stitched[DAPI 377,447]_026.tif","B10_-1_2_1_Stitched[GFP 469,525]_026.tif",26
1906.0,2259.0,"B10_-1_3_1_Stitched[DAPI 377,447]_027.tif","B10_-1_2_1_Stitched[GFP 469,525]_027.tif",27
2142.0,2331.0,"B10_-1_3_1_Stitched[DAPI 377,447]_028.tif","B10_-1_2_1_Stitched[GFP 469,525]_028.tif",28
2296.0,2295.0,"B10_-1_3_1_Stitched[DAPI 377,447]_029.tif","B10_-1_2_1_Stitched[GFP 469,525]_029.tif",29
2425.0,2265.0,"B10_-1_3_1_Stitched[DAPI 377,447]_030.tif","B10_-1_2_1_Stitched[GFP 469,525]_030.tif",30
