Count_gfp_objects,Count_rfp_objects,FileName_gfp,FileName_rfp,ImageNumber
569.0,5.0,"B10_-1_2_1_Stitched[GFP 469,525]_001.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_001.tif",1
655.0,4.0,"B10_-1_2_1_Stitched[GFP 469,525]_002.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_002.tif",2
696.0,2.0,"B10_-1_2_1_Stitched[GFP 469,525]_003.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_003.tif",3
734.0,2.0,"B10_-1_2_1_Stitched[GFP 469,525]_004.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_004.tif",4
788.0,4.0,"B10_-1_2_1_Stitched[GFP 469,525]_005.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_005.tif",5
831.0,2.0,"B10_-1_2_1_Stitched[GFP 469,525]_006.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_006.tif",6
947.0,6.0,"B10_-1_2_1_Stitched[GFP 469,525]_007.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_007.tif",7
1080.0,6.0,"B10_-1_2_1_Stitched[GFP 469,525]_008.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_008.tif",8
1200.0,2.0,"B10_-1_2_1_Stitched[GFP 469,525]_009.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_009.tif",9
1258.0,2.0,"B10_-1_2_1_Stitched[GFP 469,525]_010.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_010.tif",10
1378.0,1.0,"B10_-1_2_1_Stitched[GFP 469,525]_011.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_011.tif",11
1563.0,7.0,"B10_-1_2_1_Stitched[GFP 469,525]_012.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_012.tif",12
1648.0,5.0,"B10_-1_2_1_Stitched[GFP 469,525]_013.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_013.tif",13
1772.0,8.0,"B10_-1_2_1_Stitched[GFP 469,525]_014.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_014.tif",14
1858.0,3.0,"B10_-1_2_1_Stitched[GFP 469,525]_015.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_015.tif",15
2075.0,10.0,"B10_-1_2_1_Stitched[GFP 469,525]_016.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_016.tif",16
2148.0,6.0,"B10_-1_2_1_Stitched[GFP 469,525]_017.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_017.tif",17
2320.0,12.0,"B10_-1_2_1_Stitched[GFP 469,525]_018.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_018.tif",18
2495.0,23.0,"B10_-1_2_1_Stitched[GFP 469,525]_019.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_019.tif",19
2598.0,23.0,"B10_-1_2_1_Stitched[GFP 469,525]_020.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_020.tif",20
2752.0,21.0,"B10_-1_2_1_Stitched[GFP 469,525]_021.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_021.tif",21
2860.0,18.0,"B10_-1_2_1_Stitched[GFP 469,525]_022.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_022.tif",22
2979.0,24.0,"B10_-1_2_1_Stitched[GFP 469,525]_023.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_023.tif",23
3111.0,34.0,"B10_-1_2_1_Stitched[GFP 469,525]_024.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_024.tif",24
3117.0,17.0,"B10_-1_2_1_Stitched[GFP 469,525]_025.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_025.tif",25
3140.0,29.0,"B10_-1_2_1_Stitched[GFP 469,525]_026.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_026.tif",26
3159.0,42.0,"B10_-1_2_1_Stitched[GFP 469,525]_027.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_027.tif",27
3209.0,48.0,"B10_-1_2_1_Stitched[GFP 469,525]_028.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_028.tif",28
3161.0,63.0,"B10_-1_2_1_Stitched[GFP 469,525]_029.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_029.tif",29
3059.0,43.0,"B10_-1_2_1_Stitched[GFP 469,525]_030.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_030.tif",30
3105.0,45.0,"B10_-1_2_1_Stitched[GFP 469,525]_031.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_031.tif",31
3029.0,58.0,"B10_-1_2_1_Stitched[GFP 469,525]_032.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_032.tif",32
27.0,534.0,"B2_-1_2_1_Stitched[GFP 469,525]_001.tif","B2_-1_3_1_Stitched[Texas Red 586,647]_001.tif",33
4.0,714.0,"B2_-1_2_1_Stitched[GFP 469,525]_002.tif","B2_-1_3_1_Stitched[Texas Red 586,647]_002.tif",34
1.0,849.0,"B2_-1_2_1_Stitched[GFP 469,525]_003.tif","B2_-1_3_1_Stitched[Texas Red 586,647]_003.tif",35
1.0,854.0,"B2_-1_2_1_Stitched[GFP 469,525]_004.tif","B2_-1_3_1_Stitched[Texas Red 586,647]_004.tif",36
0.0,952.0,"B2_-1_2_1_Stitched[GFP 469,525]_005.tif","B2_-1_3_1_Stitched[Texas Red 586,647]_005.tif",37
0.0,1024.0,"B2_-1_2_1_Stitched[GFP 469,525]_006.tif","B2_-1_3_1_Stitched[Texas Red 586,647]_006.tif",38
